alpha,n_latents,n_modes,rec_error,freq_mape,runtime,OI,SOI,MI
2200,64,10,0.2542580633602667,0.3229866381543229,24.38006854057312,0.2526780570518223,0.2630343339587582,1.1900962737405112
2200,64,12,0.3195443958449731,0.3193240558802608,21.1605486869812,0.0591125756455569,0.2096344674102999,1.178261793695493
2200,96,6,1.6384578655937043,0.6058283455661677,32.3801863193512,0.0210622751956695,0.6094857230874648,1.3704168291102723
2200,96,8,0.2204980113254684,0.3264556736191449,42.587836503982544,0.1421368890651042,0.2867193771863671,1.164331933894354
2200,96,10,0.2474554904607665,0.3523511116359842,47.577709674835205,0.0222357543110756,0.2229969143757082,1.1491560316538896
2200,96,12,0.1184189181762235,0.3368556614681862,39.2540819644928,0.1532025522179946,0.2260613464969579,1.2250167089756765
1500,112,6,0.7203833952727686,0.4568597429486023,4.558793306350708,0.032311690605133885,0.604298724697608,1.2354044155284163
1500,112,8,0.2607729939864022,0.33240883575416047,6.485658407211304,0.23923016297176602,0.31294637172985473,1.1934690468666906
1500,112,10,0.12293665089395489,0.2971235118105705,6.148625373840332,0.2891784009513876,0.27041965449956124,1.17250228831438
1500,112,12,0.15128395995808228,0.2977895285436202,5.505345344543457,0.13614344407856538,0.23657722088916505,1.1242339412141604
1500,128,6,0.7278213498455047,0.4609946550542903,4.75931453704834,0.03349391726574457,0.6094774078398008,1.23976141130215
1500,128,8,0.13702225160658474,0.326759191041085,7.4116692543029785,0.23576357581660579,0.2923340102520187,1.1896548905221898
1500,128,10,0.09584810234748344,0.3053722850098601,7.5941009521484375,0.3018443415514515,0.26475678599076163,1.1373398257244365
1500,128,12,0.0545468595216501,0.3501110728124324,9.100882053375244,0.14569605849075412,0.2103377893146633,1.1734842092503885
1500,144,6,0.8509664061641656,0.4619033377071529,8.385557413101196,0.04327288055344162,0.6826302170095547,1.2994445922500162
1500,144,8,0.13300729458036845,0.3334767352467116,11.914775609970093,0.10586018280015633,0.28653388176602335,1.2251776941469479
1500,144,10,0.09108013720017877,0.308499184508524,11.985854387283325,0.2040884046914111,0.24891655409832816,1.1099982742386658
1500,144,12,0.07059956527637586,0.3529026037012159,10.45099401473999,0.14378011469257623,0.21144846740700166,1.1911184828312151
1800,112,6,1.8390680892219824,0.45510410706303756,7.2544777393341064,0.09288251323452011,0.7931365148944098,1.4095424478649272
1800,112,8,0.24912352708944852,0.3503566227232964,6.357258081436157,0.03875437788724614,0.2867311892951311,1.1279414672551844
1800,112,10,0.2370658471167499,0.31906167135397495,7.888266086578369,0.4133164333046149,0.27544006800288007,1.209677492318482
1800,112,12,0.17924024928554502,0.32812827353428387,6.357373476028442,0.06292714336570818,0.21837064948533602,1.0979749153084433
1800,128,6,0.3057232400174118,0.35088504485319466,13.915852308273315,0.014282890430435489,0.4279878599987544,1.210177044213772
1800,128,8,0.11793144635760217,0.35331276800828393,8.766557216644287,0.038554368697410676,0.2869931289915842,1.0861736080909952
1800,128,10,0.09237572658182226,0.31150841621099334,8.182015419006348,0.31204566147000085,0.2831147469481981,1.2643570162555458
1800,128,12,0.2105603381599754,0.35309233982859367,7.482955694198608,0.08795222594057282,0.22268929645237745,1.169781210168442
1800,144,6,1.6925935430432024,0.456569640270704,9.707351446151733,0.10117700428118373,0.8156856087334504,1.3997710296343315
1800,144,8,0.34919798776400646,0.351473326591473,8.725950956344604,0.04870938958250695,0.2871721724972925,1.1287675411612053
1800,144,10,0.0856440488902944,0.31369207901589935,10.005368709564209,0.3244261584284873,0.2729072817333009,1.2734405102036983
1800,144,12,0.23893469778357576,0.3696538860361296,8.099617958068848,0.2147329609509333,0.23373667007114576,1.186484044899238
2000,112,6,1.1523672684485782,0.5570181231139847,9.057481050491333,0.20633734276270424,0.776844456561634,1.5533289684942841
2000,112,8,0.21503281306078303,0.3256061876658324,8.450172901153564,0.04271161201760378,0.31983873874719826,1.266314087172009
2000,112,10,0.2698820820486977,0.32193321230044597,6.2100160121917725,0.31352166189510916,0.2702712678856657,1.2043456512489972
2000,112,12,0.18528200930545982,0.3541254167197116,6.148428678512573,0.0713372082752193,0.19553264580699473,1.0898448001681669
2000,128,6,1.1480240824691452,0.6029700304840792,6.820546865463257,0.0077558172479477,0.5860928553100436,1.2417255843024375
2000,128,8,0.23805652258861743,0.3269920984246659,10.448708057403564,0.06103124859507714,0.31947964216370756,1.2699964085241358
2000,128,10,0.16035783361289818,0.3253759084373091,7.72032618522644,0.2823344268373989,0.2492859311414207,1.1490081069479214
2000,128,12,0.14451387357372836,0.3524218138746809,7.684635400772095,0.157101001708744,0.2203026598027368,1.138777336722405
2000,144,6,1.271605293077239,0.6034212154521675,8.042968034744263,0.012330846825148291,0.5976271833437425,1.261010663224802
2000,144,8,0.17180691399414988,0.37751895027297233,9.128464698791504,0.08121619026341505,0.3100432733859145,1.2503810402406816
2000,144,10,0.30973251200386315,0.3354285382217564,7.91216254234314,0.002359738227892607,0.30965678209552794,1.3172844508917756
2000,144,12,0.3017624598212949,0.35467666407071513,8.096388578414917,0.10326347516617741,0.19688721520431024,1.0923888899584278
2200,112,6,1.6031912282991574,0.6071543809007657,5.889322757720947,0.019613807523086686,0.6063632502530414,1.371692257496899
2200,112,8,0.23001204297731787,0.38360158599402205,6.6601722240448,0.13019212330191154,0.3210528271209702,1.218012746641305
2200,112,10,0.2566853778552371,0.36085981339476964,5.966922044754028,0.11414206658979673,0.26659113929183487,1.2087751021192432
2200,112,12,0.1400396325168557,0.3546344954449831,7.221193313598633,0.09530306436430551,0.19625116748713323,1.1429394659139664
2200,128,6,1.6175845794363233,0.6094842578918968,6.698941469192505,0.020282457909054346,0.608117397881911,1.3832726055928357
2200,128,8,0.2049716540365272,0.3816047909582259,8.989660739898682,0.11355321803872147,0.345252121492388,1.2890069689862051
2200,128,10,0.3584878948310917,0.35355997550241264,7.7746055126190186,0.030814986521249838,0.2248518948765731,1.206309452315966
2200,128,12,0.2261831041521326,0.35507693698440446,7.84421706199646,0.04219197622243973,0.19521112296042295,1.1185505905299649
2200,144,6,1.63174286928489,0.6122836029316369,7.8521013259887695,0.025896668878539114,0.6559562210569614,1.4574575065664854
2200,144,8,0.18865566909086992,0.3833219369058379,10.43437910079956,0.11391825305271346,0.3524366678858174,1.2333521932586058
2200,144,10,0.3387976761053545,0.34117015195941275,9.041616678237915,0.19098378370138602,0.2643145158846133,1.181155704057662
2200,144,12,0.4051340030768089,0.35427478527921213,8.468834161758423,0.05895831221448635,0.19518734440499672,1.1451749368214086
